Dates;USGG2YR Index;ES1 Index;SX5E Index;DG FP Equity;;TTE FP Equity;;AI FP Equity;;EL FP Equity;;AIR FP Equity;;CS FP Equity;;CAP FP Equity;;SGO FP Equity;;HENKEL HB Equity;;ML FP Equity;;MC FP Equity;;ORA FP Equity;;SU FP Equity;;SAN FP Equity;;PUB FP Equity;;TE FP Equity;;NESN SW Equity;;GE US Equity;;AAPL US Equity;
Dates;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D
05/01/2016;1.0139;2011.75;3178.01;44.1663;26.611;23.5502;33.228;54.9973;27.538;99.5299;25.614;55.1035;34.587;14.8389;23.974;72.3154;35.941;30.4244;32.631;#N/A N/A;#N/A N/A;15.9764;27.207;119.68;32.665;9.083;34.455;40.6548;28.064;55.1962;31.709;42.7204;28.184;#N/A N/A;#N/A N/A;57.4281;19.459;130.7416;20.826;23.237;35.404
06/01/2016;0.976;1986;3139.32;43.9077;26.545;23.3244;33.093;54.2293;30.179;98.9125;30.046;54.3757;32.535;14.784;27.665;71.7779;36.929;29.8447;31.508;#N/A N/A;#N/A N/A;15.5476;28.337;117.32;35.386;9.2195;31.971;39.9354;31.073;54.4508;29.834;40.8612;31.237;#N/A N/A;#N/A N/A;56.8445;20.11;128.6575;22.263;22.782;36.926
07/01/2016;0.948;1933;3084.68;43.4055;27.971;22.7585;36.657;52.9785;28.911;98.6479;30.723;53.2841;36.314;14.4396;29.437;70.4949;39.108;28.5598;34.256;#N/A N/A;#N/A N/A;15.3521;30.377;117.24;35.262;9.1928;36.474;39.1133;30.492;53.8601;35.626;39.4738;31.347;#N/A N/A;#N/A N/A;55.5216;22.882;123.2135;26.567;21.821;40.843
08/01/2016;0.9318;1911.5;3033.47;43.261;26.017;21.9051;34.864;52.172;33.325;97.8542;29.827;52.1482;34.503;14.1684;35.831;69.2206;39.689;28.2974;31.962;#N/A N/A;#N/A N/A;15.3144;30.471;116.16;36.981;9.0771;36.359;39.2517;33.786;52.5099;26.902;39.4738;30.495;#N/A N/A;#N/A N/A;54.7046;23.617;121.0019;25.988;21.936;38.59
11/01/2016;0.9317;1914.25;3027.49;44.1968;27.274;21.9051;38.378;51.5466;30.166;95.5611;33.092;51.5713;39.712;14.2415;30.949;69.9401;39.81;28.317;32.065;#N/A N/A;#N/A N/A;15.2806;31.109;116.03;40.704;9.0118;33.987;38.5007;35.41;51.7926;29.253;38.9089;32.56;#N/A N/A;#N/A N/A;54.6656;25.178;121.5548;24.929;22.291;36.882
12/01/2016;0.9235;1925;3064.66;44.9196;27.106;21.8465;38.808;53.0004;27.139;98.6038;30.974;52.3612;34.841;14.4396;27.722;71.7779;38.483;28.7988;33.853;#N/A N/A;#N/A N/A;15.5777;29.831;119.68;37.734;9.3856;34.725;38.7418;33.918;52.2849;28.099;39.2736;30.96;#N/A N/A;#N/A N/A;55.8718;22.946;121.81;24.059;22.615;34.782
13/01/2016;0.9073;1881.5;3073.02;45.2543;25.651;22.1984;38.227;53.2528;26.291;98.7802;31.391;52.796;34.661;14.5829;29.531;71.2578;41.058;28.6891;39.871;#N/A N/A;#N/A N/A;15.5928;29.351;118.22;35.017;9.347;34.679;38.8011;34.154;52.517;30.145;38.3011;31.152;#N/A N/A;#N/A N/A;56.4943;21.776;120.1087;25.674;22.034;37.662
14/01/2016;0.8911;1914.5;3024;44.1968;27.026;22.7731;38.591;52.5999;28.706;96.5753;32.472;51.4826;38.737;14.2598;31.267;70.5729;42.195;28.1407;45.944;#N/A N/A;#N/A N/A;15.3427;31.199;117.58;34.003;9.1868;38.263;37.9908;36.027;51.5465;33.193;37.5359;31.31;#N/A N/A;#N/A N/A;55.4827;24.273;123.5963;23.675;22.515;35.003
15/01/2016;0.85;1875;2952.48;43.6718;24.416;22.084;41.475;51.7496;33.433;95.0319;33.882;49.8319;42.906;13.8789;35.064;68.1803;45.28;27.7803;34.996;#N/A N/A;#N/A N/A;14.8631;33.285;117.92;35.097;9.1156;39.454;36.6628;68.98;50.2807;34.269;36.971;32.521;#N/A N/A;#N/A N/A;54.5489;25.808;121.172;26.689;21.975;39.76
18/01/2016;0.85;1875;2935.39;43.6262;27.74;22.3333;39.806;51.3052;32.266;96.5312;34.209;49.5656;42.71;13.6472;35.07;67.9029;47.644;27.9096;34.785;#N/A N/A;#N/A N/A;15.0061;33.623;117.36;37.233;8.9703;41.019;36.5245;36.542;50.8222;33.124;36.642;33.574;#N/A N/A;#N/A N/A;54.51;25.077;121.172;26.689;21.975;39.76
19/01/2016;0.87;1873;2980.49;44.9272;28.039;22.65;37.966;51.3875;31.17;98.0306;30.32;50.3377;37.639;13.9581;33.035;69.5933;45.456;28.7557;32.668;#N/A N/A;#N/A N/A;15.1809;31.798;120.15;33.952;9.1394;37.659;37.8248;35.049;52.5943;30.4;37.1784;32.518;#N/A N/A;#N/A N/A;55.4438;22.048;121.172;26.88;21.868;37.408
20/01/2016;0.8212;1855;2882.59;43.5272;31.665;21.4184;43.779;50.7676;31.609;94.635;36.178;48.2433;41.499;13.2846;41.613;68.059;48.832;27.8117;35.003;#N/A N/A;#N/A N/A;14.7259;35.611;115.56;39.732;8.7864;43.062;36.3071;41.722;51.4691;33.252;36.0771;34.427;#N/A N/A;#N/A N/A;54.1598;25.36;119.088;26.786;21.898;40.513
21/01/2016;0.8331;1861;2943.92;44.3185;30.121;22.0576;39.869;51.4863;31.326;95.6933;34.917;49.2816;38.175;13.4491;35.277;70.0094;46.671;28.2739;37.014;#N/A N/A;#N/A N/A;15.0474;33.347;119.47;33.947;8.994;39.601;37.6233;37.948;52.3552;30.903;36.7135;33.904;#N/A N/A;#N/A N/A;54.8991;24.01;121.5973;25.142;21.787;36.842
22/01/2016;0.8691;1899.25;3023.21;45.8174;25.472;23.0253;36.521;52.8742;26.394;98.1188;39.065;50.5418;44.68;13.6838;30.013;71.9859;44.599;29.2923;27.193;#N/A N/A;#N/A N/A;15.3765;31.12;122.86;33.43;9.3945;34.27;38.8722;30.995;53.5859;28.201;37.7576;31.747;#N/A N/A;#N/A N/A;56.1052;21.256;120.1087;23.415;22.945;35.675
25/01/2016;0.8567;1870.25;3001.78;46.8901;28.992;22.5942;38.183;52.4408;27.106;99.4858;32.416;50.8702;38.905;13.6838;34.094;73.1216;43.937;28.6695;33.037;#N/A N/A;#N/A N/A;15.2468;31.221;123.5;35.167;9.3737;34.142;37.2241;40.464;53.7195;32.975;37.5002;32.302;#N/A N/A;#N/A N/A;56.3387;21.063;119.2581;23.416;22.497;38.831
26/01/2016;0.8401;1896;3032.84;46.6923;27.196;23.254;39.638;52.5121;39.301;99.1771;31.125;50.9589;40.211;13.6808;34.584;73.2429;43.424;28.9202;31.153;#N/A N/A;#N/A N/A;15.9124;32.171;124.36;36.902;9.4093;33.514;38.3584;36.559;54.0641;27.648;37.3428;32.573;#N/A N/A;#N/A N/A;57.0001;20.058;120.4064;22.798;22.622;37.489
27/01/2016;0.833;1875;3043.47;47.6357;27.695;23.5473;36.637;52.161;27.43;100.4119;31.093;49.2195;38.102;13.7326;34.86;72.8875;43.092;29.2375;32.212;#N/A N/A;#N/A N/A;16.0309;32.655;125.39;32.738;9.6703;32.891;38.6865;36.14;54.261;28.001;38.5299;32.571;#N/A N/A;#N/A N/A;57.5059;19.097;119.088;22.42;21.135;30.222
28/01/2016;0.8172;1880.75;2979.42;47.0499;28.988;23.5854;39.616;51.9142;26.818;98.1188;32.957;48.829;40.964;13.504;32.564;70.4169;44.585;29.0652;31.066;#N/A N/A;#N/A N/A;15.6981;33.542;123.33;35.287;9.436;34.372;38.2477;36.677;52.7631;31.761;38.6157;33.241;#N/A N/A;#N/A N/A;56.9612;20.305;119.9811;22.116;21.287;28.55
29/01/2016;0.7737;1930;3045.09;47.4912;30.85;23.9989;33.108;52.2378;31.957;100.8529;31.646;51.3139;37.614;13.8789;32.164;72.8875;41.864;29.7193;34.123;#N/A N/A;#N/A N/A;15.8071;32.721;127.19;36.729;9.6881;31.853;38.8208;36.793;53.832;31.019;39.5239;32.099;#N/A N/A;#N/A N/A;58.5175;18.038;123.7664;19.527;22.022;24.439
01/02/2016;0.7975;1931.25;3021.01;48.4194;27.133;23.4593;35.947;52.0403;27.955;101.9553;27.396;51.3406;41.638;13.7234;34.472;73.7544;40.978;29.3393;32.146;#N/A N/A;#N/A N/A;15.8372;33.535;126.81;29.712;9.697;31.745;38.971;38.317;53.9726;30.192;39.4309;32.606;#N/A N/A;#N/A N/A;58.8288;17.958;121.81;20.903;21.816;25.709
02/02/2016;0.7183;1897.5;2951.85;47.8107;28.172;22.4066;38.477;51.5795;30.38;101.7789;33.142;49.1219;48.204;13.3912;35.93;72.3067;41.762;28.4384;34.471;#N/A N/A;#N/A N/A;15.5984;33.938;124.62;38.811;9.6555;34.951;38.2438;36.032;52.9319;29.868;38.9661;33.947;#N/A N/A;#N/A N/A;58.751;19.334;120.1087;21.919;21.375;27.451
03/02/2016;0.7223;1908.5;2896.63;46.4717;29.06;22.5327;40.103;51.8813;29.023;98.4715;33.715;47.835;46.988;12.733;38.93;71.6045;42.703;27.9292;42.602;#N/A N/A;#N/A N/A;15.4799;34.517;130.24;29.225;9.5013;34.936;37.5679;40.232;51.6731;33.037;38.1581;33.843;#N/A N/A;#N/A N/A;58.5175;20.16;121.9376;22.077;21.798;26.116
04/02/2016;0.6984;1907.75;2905.3;45.8706;34.561;23.0107;36.684;52.3037;28.601;96.884;36.305;47.7552;44.648;12.7421;38.547;71.0064;43.178;27.9919;36.322;#N/A N/A;#N/A N/A;15.4668;33.849;131.14;31.99;9.2995;34.994;39.0106;40.363;50.9066;32.536;38.5371;33.29;#N/A N/A;#N/A N/A;57.895;20.986;124.1067;22.053;21.973;26.295
05/02/2016;0.7221;1875.25;2879.39;46.2206;27.852;22.8171;38.212;52.2982;23.265;95.0319;35.517;47.977;45.181;12.3916;39.927;68.5704;45.526;27.8234;36.476;#N/A N/A;#N/A N/A;15.4987;34.335;131.05;32.404;9.0207;31.921;40.2358;47.964;50.4213;35.251;38.0222;35.442;#N/A N/A;#N/A N/A;57.0779;21.678;121.3847;22.678;21.387;29.801
08/02/2016;0.6662;1852;2785.17;45.163;26.094;22.386;38.52;50.6908;26.342;93.1356;40.187;45.3767;46.645;11.9375;46.169;63.7939;52.136;26.0059;40.937;#N/A N/A;#N/A N/A;15.1715;36.774;130.2;34.062;8.7864;39.729;38.8208;41.888;49.1626;29.227;36.7994;36.982;#N/A N/A;#N/A N/A;56.6889;24.186;119.811;26.424;21.612;30.304
09/02/2016;0.6901;1848.25;2736.5;45.0641;28.668;21.5855;43.326;51.1022;31.687;92.2096;40.674;45.4566;53.024;11.6023;47.231;63.5858;54.15;25.4105;42.791;#N/A N/A;#N/A N/A;15.1283;37.805;126.81;28.774;8.7508;39.738;38.5481;44.337;48.4804;32.858;37.2141;37.003;#N/A N/A;#N/A N/A;55.794;27.559;120.2788;27.752;21.607;30.525
10/02/2016;0.686;1846.75;2789.05;45.5282;32.353;21.4184;42.752;51.9306;29.535;94.2381;35.871;46.4772;47.046;12.3733;43.622;63.8026;52.601;26.0294;40.949;#N/A N/A;#N/A N/A;15.2656;36.483;127.19;34.826;8.8783;39.91;38.3386;42.032;48.3187;32.939;37.7004;37.7;#N/A N/A;#N/A N/A;56.6889;25.291;120.3639;27.225;21.443;30.512
11/02/2016;0.6499;1824.5;2680.35;44.2881;35.3;20.7175;41.026;50.7347;33.526;90.8425;41.888;44.3384;51.257;11.5109;55.347;59.7889;57.239;25.1245;45.724;#N/A N/A;#N/A N/A;14.7484;38.286;122.34;37.545;8.6855;41.027;36.564;46.235;47.306;37.601;38.3654;34.516;#N/A N/A;#N/A N/A;55.1325;30.43;116.7487;33.511;21.314;31.328
12/02/2016;0.7137;1858.25;2756.16;44.6076;37.575;22.2863;41.338;51.4863;32.507;91.8127;40.444;45.5365;50.441;11.7943;47.592;59.997;55.577;25.8609;44.797;#N/A N/A;#N/A N/A;14.8951;36.738;125.3;34.897;8.8368;41.331;36.3861;46.861;48.382;39.256;39.7742;30.642;#N/A N/A;#N/A N/A;55.9496;27.695;120.1938;26.541;21.38;28.897
15/02/2016;0.7137;1858.25;2833.87;45.9239;30.202;22.6529;37.405;52.9401;33.77;95.2524;39.513;47.3735;46.663;12.2819;43.509;62.4676;54.394;26.5151;42.664;#N/A N/A;#N/A N/A;15.3615;36.73;129.98;34.253;9.1127;43.158;37.6391;43.88;49.0782;34.51;40.7968;29.645;#N/A N/A;#N/A N/A;57.2725;24.524;120.1938;26.541;21.38;28.897
16/02/2016;0.7197;1888.75;2821.26;46.7075;29.597;22.7409;39.603;50.3781;31.802;95.7815;37.596;47.7285;46.535;12.2027;49.657;61.8261;54.914;26.5268;42.217;#N/A N/A;#N/A N/A;15.8767;32.099;128.18;39.813;9.1245;35.33;37.9671;44.121;48.8391;31.859;41.2402;29.491;#N/A N/A;#N/A N/A;56.8445;24.899;122.7457;23.788;21.982;26.994
17/02/2016;0.7419;1922.75;2897.72;48.0694;27.104;23.0752;34.721;51.393;27.485;97.3691;38.034;48.8556;28.056;12.6964;42.902;62.979;52.593;27.7098;35.571;#N/A N/A;#N/A N/A;15.9707;29.237;133.46;32.804;9.3203;33.135;41.4611;40.763;49.8306;28.218;40.997;29.353;#N/A N/A;#N/A N/A;57.6616;23.303;124.7872;22.086;22.319;25.654
18/02/2016;0.6933;1916.5;2895.15;48.4346;24.997;23.1954;34.167;51.6563;29.448;98.6038;36.603;49.5656;44.676;12.6811;42.787;65.7704;44.432;27.6628;42.673;#N/A N/A;#N/A N/A;15.9952;29.077;131.83;31.499;9.4864;31.981;41.6745;30.193;49.9924;26.832;41.0471;28.416;#N/A N/A;#N/A N/A;55.5216;22.66;123.6814;22.074;21.896;26.421
19/02/2016;0.7418;1914.5;2871.05;47.8488;28.931;23.3068;32.584;52.194;26.438;96.443;33.238;49.0331;41.655;12.4343;54.709;65.6924;40.896;27.6863;35.745;#N/A N/A;#N/A N/A;16.0384;29.195;132.6;28.708;9.4568;32.859;41.3899;36.117;49.472;27.89;40.9398;28.166;#N/A N/A;#N/A N/A;55.1325;22.241;123.4262;20.495;21.846;24.892
22/02/2016;0.75;1936.25;2933.91;47.9781;27.025;23.9461;32.414;53.0388;24.519;96.4871;32.878;49.8319;42.6;12.6598;42.275;66.5246;39.493;28.2778;34.602;#N/A N/A;#N/A N/A;16.1494;27.919;133.59;32.008;9.6881;27.963;42.2516;32.561;50.0557;25.891;40.6967;28.904;#N/A N/A;#N/A N/A;55.366;20.154;125.0849;19.224;22.037;22.802
23/02/2016;0.7337;1916;2887.38;47.9781;27.957;23.3537;33.448;51.8099;25.263;95.6493;30.531;49.1751;42.457;12.355;41.049;65.1289;40.452;27.7686;34.38;#N/A N/A;#N/A N/A;15.9331;28.225;130.45;31.302;9.4835;30.954;41.8563;32.882;49.5775;27.173;40.618;28.861;#N/A N/A;#N/A N/A;54.6267;20.169;124.2768;19.772;21.539;25.589
24/02/2016;0.7539;1930.25;2820.24;47.4531;27.213;22.952;37.17;50.9322;27.077;92.9593;27.89;48.7669;44.361;11.8857;47.674;63.9499;41.296;27.228;37.555;#N/A N/A;#N/A N/A;15.5758;30.641;127.45;33.254;9.2284;34.361;40.6943;33.139;48.7336;29.591;39.7599;30.399;#N/A N/A;#N/A N/A;54.0042;22.142;123.171;21.688;21.86;23.898
25/02/2016;0.7264;1950.5;2877.42;48.4194;26.784;23.3831;34.819;51.5576;27.023;94.9437;29.668;50.9146;37.998;12.029;38.795;65.3109;37.795;27.8391;33.516;#N/A N/A;#N/A N/A;15.5495;30.059;129.04;34.714;9.439;33.237;40.8761;33.058;50.6956;29.417;40.003;29.918;#N/A N/A;#N/A N/A;54.6656;19.821;125.3146;20.361;22.01;23.518
26/02/2016;0.7934;1942.75;2929.16;48.2444;20.471;23.949;33.225;52.6274;25.933;96.1343;29.017;51.0388;37.646;12.3794;37.487;66.0478;35.419;27.6589;32.828;#N/A N/A;#N/A N/A;15.5871;29.811;131.48;30.324;9.3796;32.126;42.3622;30.288;51.8278;23.58;40.3248;29.391;#N/A N/A;#N/A N/A;54.8213;18.331;126.0434;20.166;22.044;23.168
29/02/2016;0.7737;1929.5;2945.75;48.5563;22.049;24.2657;35.991;52.7645;25.227;96.7076;29.766;53.0534;38.984;12.3703;38.073;66.4899;35.482;28.0232;36.234;#N/A N/A;#N/A N/A;15.683;29.735;132;32.06;9.5013;33.392;43.295;39.423;51.4691;26.258;40.8755;28.965;#N/A N/A;#N/A N/A;54.5489;18.023;124.9287;20.383;21.994;23.836
01/03/2016;0.8391;1978;2996.39;48.6933;26.554;24.3684;31.188;53.3625;24.608;97.325;31.878;53.9586;35.194;12.6903;35.828;67.4435;33.67;28.5794;27.74;#N/A N/A;#N/A N/A;16.0215;28.216;132.77;31.459;9.5873;27.978;43.382;26.27;51.6942;27.327;41.6621;28;#N/A N/A;#N/A N/A;55.6773;16.837;128.1013;18.182;22.867;21.576
02/03/2016;0.8412;1983.5;3022.14;47.902;24.063;24.7554;31.136;53.1211;24.133;97.1486;28.331;53.7279;35.705;13.0651;35.126;68.1457;32.291;28.8301;30.022;#N/A N/A;#N/A N/A;16.2509;26.801;133.03;32.173;9.5131;32.528;43.4373;28.629;51.7926;26.633;41.5763;27.746;#N/A N/A;#N/A N/A;55.5605;15.971;129.3874;17.632;22.917;21.6
03/03/2016;0.8452;1990.5;3012.87;47.9401;23.982;24.7496;31.366;53.1924;21.245;95.9138;25.388;53.932;32.788;13.1566;23.072;66.6893;32.296;29.1787;30.6;#N/A N/A;#N/A N/A;16.2866;25.771;131.91;31.353;9.4627;31.689;44.0855;30.106;50.5128;24.607;41.7121;28.42;#N/A N/A;#N/A N/A;55.0936;15.372;129.5589;16.693;23.088;21.743
04/03/2016;0.8616;1995;3037.35;48.6629;23.249;25.0282;26.469;53.5271;23.489;96.5753;27.848;55.1123;32.262;13.0133;32.678;67.0534;30.468;29.496;26.461;#N/A N/A;#N/A N/A;16.3318;23.977;131.61;29.922;9.433;29.893;44.2673;29.061;50.9347;25.352;41.6978;27.467;#N/A N/A;#N/A N/A;55.6383;15.14;130.5878;16.282;23.431;21.204
07/03/2016;0.9057;1999;3021.09;48.465;23.537;25.1073;26.752;54.1086;21.961;97.8101;25.754;54.5621;32.766;12.8335;36.036;66.4986;32.007;29.1787;27.344;#N/A N/A;#N/A N/A;16.4314;24.599;132.73;30.884;9.3529;29.287;44.8286;27.45;50.8855;25.529;41.7765;28.538;#N/A N/A;#N/A N/A;55.6773;15.551;129.859;17.093;23.172;22.909
08/03/2016;0.8659;1981;3002.01;48.1379;28.568;24.6557;29.74;54.0921;29.777;98.0747;25.593;53.79;32.939;12.6171;36.931;65.5103;33.798;29.1239;28.625;#N/A N/A;#N/A N/A;16.2866;24.809;132.86;30.104;9.3262;38.972;44.2752;24.306;50.9558;25.805;41.2616;28.325;#N/A N/A;#N/A N/A;55.4438;16.461;128.873;17.699;22.981;22.419
09/03/2016;0.8901;1989;3016.18;48.6096;22.003;24.6939;30.507;54.5913;24.245;98.692;24.996;53.8166;33.143;12.669;31.005;66.2212;32.267;29.1004;32.571;#N/A N/A;#N/A N/A;16.3468;24.86;133.5;29.726;9.4657;29.404;44.1566;32.139;51.3777;25.171;42.0625;28.668;#N/A N/A;#N/A N/A;55.6383;16.462;128.8301;17.46;23.002;21.977
10/03/2016;0.9265;1988.75;2970.78;48.389;25.318;23.9314;32.815;53.357;26.016;97.4573;31.174;51.6867;36.783;12.416;26.572;66.2385;31.959;28.5677;29.142;#N/A N/A;#N/A N/A;15.7507;25.507;132.47;29.208;9.3381;31.022;42.6547;30.266;51.0261;24.654;41.4761;28.736;#N/A N/A;#N/A N/A;55.2493;16.082;128.3585;17.232;23.013;22.805
11/03/2016;0.9554;2020;3073.8;49.7204;16.191;24.8375;27.658;54.4871;26.321;98.692;23.513;53.364;32.005;13.184;25.233;67.7989;29.372;29.688;25.801;#N/A N/A;#N/A N/A;16.2415;23.2;135.13;26.726;9.7564;29.19;43.8088;23.229;52.0106;24.328;42.5273;26.756;#N/A N/A;#N/A N/A;55.6773;14.405;130.0734;15.684;23.261;21.544
14/03/2016;0.9557;2018.75;3091.98;49.1498;19.52;24.6792;27.731;54.5859;24.093;99.7063;21.364;53.6125;30.213;13.1749;25.203;68.6918;28.69;29.7977;24.432;#N/A N/A;#N/A N/A;16.3581;22.773;136.89;25.584;9.7564;27.257;44.0223;29.485;52.7139;16.256;43.0851;25.984;#N/A N/A;#N/A N/A;55.7162;14.273;129.7733;15.678;23.32;21.462
15/03/2016;0.9641;2015.75;3067.21;49.5759;26;24.3361;26.131;53.9166;21.785;99.0889;22.436;53.506;27.821;13.245;27.763;68.2844;28.535;29.7585;24.364;#N/A N/A;#N/A N/A;16.4427;22.045;133.76;27.607;9.6703;31.941;43.5163;20.734;52.1724;22.009;43.3569;24.548;#N/A N/A;#N/A N/A;55.5605;14.953;129.8161;16.033;23.789;21.87
16/03/2016;0.855;2027;3062.05;49.6748;18.842;24.559;21.212;53.8398;21.126;97.0163;25.9;53.9409;34.895;13.3394;25.658;67.8509;28.655;29.5;23.406;#N/A N/A;#N/A N/A;16.911;21.325;133.07;29.367;9.6674;23.492;43.5638;26.479;51.3496;21.21;43.6;24.384;#N/A N/A;#N/A N/A;55.8718;14.436;129.3445;15.717;24.105;21.606
17/03/2016;0.8633;2039.75;3043.1;49.7432;18.224;25.1337;24.371;53.3515;18.498;96.3989;23.984;52.8315;28.629;13.1322;27.47;67.5995;28.308;29.4569;20.228;#N/A N/A;#N/A N/A;16.8301;21.24;130.15;28.273;9.3885;32.759;43.9827;29.132;50.3721;25.842;43.5857;24.521;#N/A N/A;#N/A N/A;55.6383;14.213;132.7314;15.578;24.066;21.867
18/03/2016;0.8353;2050.07;3059.77;49.2791;17.558;25.1542;25.022;53.7739;20.07;96.002;21.278;53.7811;22.081;13.1596;26.847;68.6138;25.87;29.6723;21.809;#N/A N/A;#N/A N/A;16.8245;19.75;130.75;25.671;9.2135;26.236;44.2673;25.186;49.7392;21.601;43.9504;21.837;#N/A N/A;#N/A N/A;55.5994;13.358;132.5599;14.611;24.093;21.022
21/03/2016;0.872;2042.75;3048.77;49.4085;14.175;24.589;23.641;53.9659;20.264;95.2524;22.067;54.0296;26.45;13.2297;22.18;68.3537;27.981;29.5274;21.202;#N/A N/A;#N/A N/A;16.7342;20.656;129.21;25.158;9.2017;32.056;43.8879;25.731;49.8095;21.507;43.6715;22.949;#N/A N/A;#N/A N/A;55.5994;13.836;133.2888;15.984;24.091;21.453
22/03/2016;0.8865;2042.5;3051.23;49.5074;18.242;24.6188;24.974;54.3116;19.872;94.7673;22.862;54.358;26.482;12.9768;23.562;69.1512;28.029;29.7428;22.603;#N/A N/A;#N/A N/A;16.9598;20.701;127.66;27.375;9.2639;31.307;44.0855;26.808;50.0416;20.138;43.8288;23.37;#N/A N/A;#N/A N/A;54.9769;14.34;133.1601;16.878;24.275;22.152
23/03/2016;0.852;2028.75;3042.42;49.7889;18.106;24.3064;26.003;54.8053;20;95.7374;21.418;54.429;26.019;12.8914;24.242;70.3562;27.25;29.5235;22.536;#N/A N/A;#N/A N/A;16.9542;20.312;128.87;26.499;9.3173;30.124;43.6428;25.47;49.704;21.893;44.2222;22.744;#N/A N/A;#N/A N/A;55.7162;13.528;133.203;17.425;24.141;22.966
24/03/2016;0.8689;2028.5;2986.73;49.4541;18.879;23.893;27.329;53.8288;20.243;93.0915;22.22;53.0445;29.896;12.5806;22.572;69.8794;28.36;28.8458;23.193;#N/A N/A;#N/A N/A;16.6496;21.494;126.33;25.759;9.1453;36.252;42.3385;31.897;48.5367;22.501;43.3426;24.051;#N/A N/A;#N/A N/A;54.9769;14.993;133.3745;17.534;24.037;23.34
25/03/2016;0.8689;2028.5;2986.73;49.4541;18.879;23.893;27.329;53.8288;20.243;93.0915;22.22;53.0445;29.896;12.5806;22.572;69.8794;28.36;28.8458;23.193;#N/A N/A;#N/A N/A;16.6496;21.494;126.33;25.759;9.1453;36.252;42.3385;31.897;48.5367;22.501;43.3426;24.051;#N/A N/A;#N/A N/A;54.9769;14.993;133.3745;17.534;24.037;23.34
28/03/2016;0.865;2028;2986.73;49.4541;18.879;23.893;27.329;53.8288;20.243;93.0915;22.22;53.0445;29.896;12.5806;22.572;69.8794;28.36;28.8458;23.193;#N/A N/A;#N/A N/A;16.6496;21.494;126.33;25.759;9.1453;36.252;42.3385;31.897;48.5367;22.501;43.3426;24.051;#N/A N/A;#N/A N/A;54.9769;14.993;135.0036;18.178;23.927;26.01
29/03/2016;0.7843;2047.5;3004.87;49.6063;16.304;23.8245;30.566;54.1909;29.306;94.9878;24.766;53.293;32.981;12.6354;28.79;71.1364;29.661;29.2688;30.999;#N/A N/A;#N/A N/A;16.7229;22.441;129.42;26.944;9.2521;35.861;42.9235;31.623;49.5634;25.259;43.836;24.924;#N/A N/A;#N/A N/A;55.9107;15.516;134.9608;17.538;24.494;26.927
30/03/2016;0.7567;2055.25;3044.1;50.4356;20.883;24.3808;29.326;55.3813;20.179;95.9579;24.963;53.2131;32.126;12.5867;26.156;72.8615;28.357;30.3461;26.17;#N/A N/A;#N/A N/A;17.1742;20.952;132.6;27.679;9.2491;32.46;44.3622;32.416;50.119;23.138;44.8085;24.451;#N/A N/A;#N/A N/A;56.222;13.733;136.4613;16.672;24.921;27.31
31/03/2016;0.7211;2051.5;3004.93;49.8117;17.783;23.8335;30.231;54.2512;22.052;95.7374;22.319;51.7843;30.859;12.611;21.698;71.5872;30.445;30.3421;27.228;#N/A N/A;#N/A N/A;16.911;21.536;129.17;29.385;9.1334;33.813;43.9037;28.925;49.8306;21.56;44.1292;24.504;#N/A N/A;#N/A N/A;55.9107;14.588;136.2898;16.899;24.792;27.987
01/04/2016;0.7224;2065;2953.28;49.6672;17.783;23.0749;28.498;53.2089;21.366;94.1499;22.319;50.5685;32.404;12.3947;30.495;71.5612;30.358;30.064;37.365;#N/A N/A;#N/A N/A;16.6402;23.054;127.71;67.825;9.1334;31.763;42.71;29.892;49.7533;22.16;43.9361;24.519;#N/A N/A;#N/A N/A;55.3271;16.137;136.89;16.272;25.019;26.834
04/04/2016;0.7361;2057.5;2962.28;49.7965;26.638;23.3069;28.863;53.2473;19.185;94.7232;24.385;50.8702;30.218;12.3703;35.919;71.7519;31.136;30.209;22.969;#N/A N/A;#N/A N/A;16.5443;23.163;128.05;28.423;8.5698;35.07;42.8523;32.263;51.9262;39.38;44.9158;24.651;#N/A N/A;#N/A N/A;55.366;17.29;133.889;18.156;25.276;28.595
